revision,layer,group_family,group,n,mean_curvature,mean_entropy,mean_speed,curvature_entropy_pearson
step512,1,surface_combo,other|contains_other_punct|after_sentence_4_12|tok_020_049,3,2.1212263107299805,6.620251337687175,8.692083994547525,-0.6741800152145793
step512,1,surface_combo,other|contains_other_punct|after_sentence_4_12|tok_050_099,3,2.1020599206288657,6.784531593322754,8.335991064707438,-0.7666827440088965
step512,1,surface_combo,other|contains_other_punct|unknown_before_first_boundary|tok_006_019,3,2.0814122358957925,6.900874137878418,9.306797663370768,-0.2310375454289167
step512,1,surface_combo,other|contains_other_punct|unknown_before_first_boundary|tok_020_049,1,2.086087942123413,6.606136322021484,8.982856750488281,nan
step512,1,surface_combo,punctuation|other_punct_only|after_sentence_13_plus|tok_020_049,2,2.0787235498428345,7.500458717346191,9.441136837005615,-1.0000000000000002
step512,1,surface_combo,punctuation|other_punct_only|after_sentence_13_plus|tok_050_099,2,2.2586395740509033,7.306775331497192,9.703661918640137,-1.0000000000000002
step512,1,surface_combo,punctuation|other_punct_only|after_sentence_4_12|tok_020_049,2,2.049330770969391,7.545829772949219,8.998268604278564,1.0
step512,1,surface_combo,punctuation|other_punct_only|after_sentence_4_12|tok_050_099,2,2.05107581615448,7.820046901702881,9.144981384277344,-1.0
step512,1,surface_combo,punctuation|other_punct_only|unknown_before_first_boundary|tok_020_049,1,2.056736946105957,7.137716293334961,9.153584480285645,nan
step512,1,surface_combo,word_piece_continuation|no_punct|after_sentence_13_plus|tok_020_049,19,2.085849962736431,6.713063930210314,8.812346081984671,-0.02192652221703128
step512,1,surface_combo,word_piece_continuation|no_punct|after_sentence_13_plus|tok_050_099,38,2.1064868349778023,6.3073900185133285,8.893324575926128,0.046299770333004794
step512,1,surface_combo,word_piece_continuation|no_punct|after_sentence_13_plus|tok_100_plus,4,2.07878577709198,5.343415260314941,9.235020160675049,-0.753620509970748
step512,1,surface_combo,word_piece_continuation|no_punct|after_sentence_1_3|tok_006_019,5,2.096376085281372,7.616030883789063,8.515885543823241,-0.5062659574457391
step512,1,surface_combo,word_piece_continuation|no_punct|after_sentence_1_3|tok_020_049,16,2.0880971252918243,7.708710461854935,8.609572112560272,0.19792839046309338
step512,1,surface_combo,word_piece_continuation|no_punct|after_sentence_1_3|tok_050_099,15,2.076576089859009,6.943872880935669,8.610917377471925,0.0012234482851376717
step512,1,surface_combo,word_piece_continuation|no_punct|after_sentence_4_12|tok_006_019,4,2.0953032970428467,6.889557600021362,9.045096397399902,-0.07729550755486354
